timestamp,Season,Repetition,Cultivar,PH,IFP,NLP,NGL,NS,MHG,GY
2022-12-01,1,1,NEO 760 CE,58.8,15.2,98.2,1.81,5.2,152.2,3232.82
2022-12-01,1,1,MANU IPRO,81.2,18.0,98.8,1.75,7.4,145.59,3230.99
2022-12-01,1,1,77HO111I2X - GUAPORÉ,52.2,14.4,64.8,2.3,7.2,180.25,3640.46
2022-12-01,1,1,NK 7777 IPRO,54.0,15.4,82.2,2.67,8.2,188.27,4122.76
2022-12-01,1,1,GNS7900 IPRO - AMPLA,55.2,19.8,49.0,1.64,3.6,161.01,3433.34
2022-12-01,1,1,LTT 7901 IPRO,60.6,15.8,61.4,2.22,6.0,164.13,3430.72
2022-12-01,1,1,BRASMAX BÔNUS IPRO,71.2,19.4,73.0,2.05,6.4,177.23,3506.11
2022-12-01,1,1,97Y97 IPRO,53.8,14.0,49.0,2.66,5.2,167.34,2947.93
2022-12-01,1,1,BRASMAX OLIMPO IPRO,86.6,23.0,44.0,2.0,4.8,187.87,4368.41
2022-12-01,1,1,LYNDA IPRO,55.8,13.6,44.4,1.99,2.8,196.27,3716.41
2022-12-01,1,1,NK 8100 IPRO,84.2,16.8,80.6,2.49,6.8,194.62,3100.57
2022-12-01,1,1,82HO111 IPRO - HO COXIM IPRO,50.4,17.0,78.8,2.41,6.6,194.03,3576.51
2022-12-01,1,1,83IX84RSF I2X,69.4,15.2,103.8,2.11,5.6,146.16,4053.31
2022-12-01,1,1,ADAPTA LTT 8402 IPRO,54.4,15.8,55.0,2.34,5.8,158.46,4509.32
2022-12-01,1,1,98R30 CE,78.6,17.6,58.6,2.37,6.6,169.78,4759.2
2022-12-01,1,1,FORTALEZA IPRO,78.4,16.2,89.8,2.86,7.0,127.06,4552.4
2022-12-01,1,1,MONSOY 8330I2X,63.4,14.6,54.6,2.55,4.2,144.29,4235.72
2022-12-01,1,1,SUZY IPRO,62.2,15.4,116.4,2.18,5.6,143.3,4057.59
2022-12-01,1,1,TMG 22X83I2X,65.8,16.6,39.8,2.25,4.0,167.45,4011.21
2022-12-01,1,1,EXPANDE LTT 8301 IPRO,66.6,19.2,32.4,2.43,4.6,159.05,3350.2
2022-12-01,1,1,FORTALECE L090183 RR,75.2,18.0,31.2,2.53,3.2,146.09,4418.61
2022-12-01,1,1,96R29 IPRO,70.8,17.4,55.0,2.4,4.8,152.31,2231.26
2022-12-01,1,1,74K75RSF CE,63.8,15.8,56.8,2.45,5.4,167.44,2942.14
2022-12-01,1,1,FTR 3868 IPRO,69.2,17.2,47.6,2.55,4.8,153.93,2691.31
