predictive_features,feature_importances,abs_feature_importances
Cultivar_96R29 IPRO_OneHotEnc,0.26326236,0.26326236
Cultivar_FTR 3179 IPRO_OneHotEnc,0.20921467,0.20921467
Cultivar_82I78RSF IPRO_OneHotEnc,0.112378895,0.112378895
f6_sin,0.054927044,0.054927044
Cultivar_MONSOY 8330I2X_OneHotEnc,0.037005473,0.037005473
f6_cos,0.03351147,0.03351147
Cultivar_FORTALECE L090183 RR_OneHotEnc,0.030422648,0.030422648
f7_sin,0.030048613,0.030048613
NS_log,0.02744743,0.02744743
f8_cos,0.021554476,0.021554476
Cultivar_SUZY IPRO_OneHotEnc,0.02051324,0.02051324
Cultivar_97Y97 IPRO_OneHotEnc,0.019873934,0.019873934
PH_log,0.01862912,0.01862912
cluster,0.015824068,0.015824068
NGL_log,0.01577887,0.01577887
Cultivar_83IX84RSF I2X_OneHotEnc,0.015532796,0.015532796
NLP_log,0.014828916,0.014828916
Cultivar_NK 7777 IPRO_OneHotEnc,0.011206512,0.011206512
f7_cos,0.0095427,0.0095427
Cultivar_BRASMAX OLIMPO IPRO_OneHotEnc,0.0078321025,0.0078321025
f1_sin,0.0077392966,0.0077392966
f5_sin,0.0066725262,0.0066725262
Cultivar_TMG 22X83I2X_OneHotEnc,0.0065635964,0.0065635964
f8_sin,0.0062551196,0.0062551196
Cultivar_GNS7900 IPRO - AMPLA_OneHotEnc,0.0034342322,0.0034342322
f1_cos,0.0,0.0
f2_cos,0.0,0.0
f2_sin,0.0,0.0
f3_cos,0.0,0.0
f3_sin,0.0,0.0
f4_cos,0.0,0.0
f4_sin,0.0,0.0
f5_cos,0.0,0.0
