predictive_features,feature_importances,abs_feature_importances
Cultivar_96R29 IPRO_OneHotEnc,0.40314618,0.40314618
Cultivar_82I78RSF IPRO_OneHotEnc,0.14151439,0.14151439
Cultivar_FTR 3179 IPRO_OneHotEnc,0.11657269,0.11657269
Cultivar_FORTALECE L090183 RR_OneHotEnc,0.04161997,0.04161997
f8_cos,0.032960914,0.032960914
Cultivar_FTR 4280 IPRO_OneHotEnc,0.030200494,0.030200494
f7_sin,0.026663287,0.026663287
NS_log,0.026634758,0.026634758
f8_sin,0.02134629,0.02134629
NLP_log,0.020716462,0.020716462
Cultivar_83IX84RSF I2X_OneHotEnc,0.019257588,0.019257588
Cultivar_NEO 790 IPRO_OneHotEnc,0.018606354,0.018606354
NGL_log,0.017387144,0.017387144
f6_cos,0.017364465,0.017364465
cluster,0.015140068,0.015140068
PH_log,0.014734067,0.014734067
Cultivar_FORTALEZA IPRO_OneHotEnc,0.011858011,0.011858011
f7_cos,0.009195539,0.009195539
f5_sin,0.0061564893,0.0061564893
f6_sin,0.005302033,0.005302033
f1_sin,0.003622873,0.003622873
f1_cos,0.0,0.0
f2_cos,0.0,0.0
f2_sin,0.0,0.0
f3_cos,0.0,0.0
f3_sin,0.0,0.0
f4_cos,0.0,0.0
f4_sin,0.0,0.0
f5_cos,0.0,0.0
